,temp,heat_state
2019-12-26 18:21:00+00:00,78.0685,100.0
2019-12-26 18:21:15+00:00,78.238,100.0
2019-12-26 18:21:30+00:00,78.5185,100.0
2019-12-26 18:21:45+00:00,78.912,100.0
2019-12-26 18:22:00+00:00,78.5185,100.0
2019-12-26 18:22:15+00:00,78.575,100.0
2019-12-26 18:22:30+00:00,78.9125,100.0
2019-12-26 18:22:45+00:00,79.25,100.0
2019-12-26 18:23:00+00:00,79.69999999999999,100.0
2019-12-26 18:23:15+00:00,80.038,100.0
2019-12-26 18:23:30+00:00,80.3185,100.0
2019-12-26 18:23:45+00:00,80.6,100.0
2019-12-26 18:24:00+00:00,80.9375,100.0
2019-12-26 18:24:15+00:00,81.162,100.0
2019-12-26 18:24:30+00:00,81.3315,100.0
2019-12-26 18:24:45+00:00,81.612,100.0
2019-12-26 18:25:00+00:00,81.94999999999999,100.0
2019-12-26 18:25:15+00:00,82.175,100.0
2019-12-26 18:25:30+00:00,82.456,100.0
2019-12-26 18:25:45+00:00,82.738,100.0
2019-12-26 18:26:00+00:00,83.0185,100.0
2019-12-26 18:26:15+00:00,83.188,100.0
2019-12-26 18:26:30+00:00,83.4685,100.0
2019-12-26 18:26:45+00:00,83.638,100.0
2019-12-26 18:27:00+00:00,83.9185,100.0
2019-12-26 18:27:15+00:00,84.088,100.0
2019-12-26 18:27:30+00:00,84.3685,100.0
2019-12-26 18:27:45+00:00,84.65,100.0
2019-12-26 18:28:00+00:00,84.875,100.0
2019-12-26 18:28:15+00:00,85.1,100.0
2019-12-26 18:28:30+00:00,85.325,100.0
2019-12-26 18:28:45+00:00,85.662,100.0
2019-12-26 18:29:00+00:00,85.8875,100.0
2019-12-26 18:29:15+00:00,86.112,100.0
2019-12-26 18:29:30+00:00,86.44999999999999,100.0
2019-12-26 18:29:45+00:00,86.675,100.0
2019-12-26 18:30:00+00:00,87.0125,100.0
2019-12-26 18:30:15+00:00,87.35,100.0
